Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2022,Beloit College,Women,Basketball,90114,32484,481
2022,Beloit College,Women,Lacrosse,70995,25384,481
2022,Beloit College,Women,Soccer,87238,25384,481
2022,Beloit College,Women,Softball,142060,54811,481
2022,Beloit College,Women,Swimming,19263,8592,481
2022,Beloit College,Women,Total,604618,182477,481
2022,Beloit College,Women,Volleyball,89431,31003,481
2003,Cornell College,Men,Baseball,58701,41665,453
2003,Cornell College,Men,Basketball,70259,26777,453
2003,Cornell College,Men,Football,200198,42334,453
2003,Cornell College,Men,Golf,9794,5947,453
2003,Cornell College,Men,Soccer,17576,10143,453
2003,Cornell College,Men,Tennis,8845,3247,453
2003,Cornell College,Men,Total,500247,188266,453
2003,Cornell College,Men,Cross Country,67597,32015,453
2003,Cornell College,Men,Wrestling,67277,26138,453
2003,Cornell College,Women,Basketball,54944,14300,652
2003,Cornell College,Women,Golf,9948,5721,652
2003,Cornell College,Women,Soccer,18778,13601,652
2003,Cornell College,Women,Softball,39657,11944,652
2003,Cornell College,Women,Tennis,20007,13027,652
2003,Cornell College,Women,Total,254112,107552,652
2003,Cornell College,Women,Cross Country,66751,30972,652
2003,Cornell College,Women,Volleyball,44027,17987,652
2004,Cornell College,Men,All Track Combined,51004,14827,489
2004,Cornell College,Men,Baseball,40506,26189,489
2004,Cornell College,Men,Basketball,99375,15105,489
2004,Cornell College,Men,Football,186912,33146,489
2004,Cornell College,Men,Golf,12854,8706,489
2004,Cornell College,Men,Soccer,18442,13759,489
2004,Cornell College,Men,Tennis,9252,4918,489
2004,Cornell College,Men,Total,487000,133966,489
2004,Cornell College,Men,Wrestling,68655,17316,489
2004,Cornell College,Women,All Track Combined,52304,15758,656
2004,Cornell College,Women,Basketball,64261,13134,656
2004,Cornell College,Women,Golf,7920,4065,656
2004,Cornell College,Women,Soccer,18654,14039,656
2004,Cornell College,Women,Softball,40832,13163,656
2004,Cornell College,Women,Tennis,15410,8138,656
2004,Cornell College,Women,Total,253465,94455,656
2004,Cornell College,Women,Volleyball,54084,26158,656
2005,Cornell College,Men,All Track Combined,59879,19824,525
2005,Cornell College,Men,Baseball,71708,32773,525
2005,Cornell College,Men,Basketball,108588,29865,525
2005,Cornell College,Men,Football,227203,58268,525
2005,Cornell College,Men,Golf,11144,6646,525
2005,Cornell College,Men,Soccer,18586,11082,525
2005,Cornell College,Men,Tennis,6916,2193,525
2005,Cornell College,Men,Total,611983,202254,525
2005,Cornell College,Men,Wrestling,107959,41603,525
2005,Cornell College,Women,All Track Combined,59510,19251,641
2005,Cornell College,Women,Basketball,97759,22371,641
