Category,Value,Gender,Sport,Year
Home,0-2,Men,Baseball,1972
Away,0-6,Men,Baseball,1972
Neutral,0-0,Men,Baseball,1972
Overall,10-Feb,Men,Baseball,1973
OverallPCT,0.167,Men,Baseball,1973
Conf,6-Feb,Men,Baseball,1973
ConfPCT,0.25,Men,Baseball,1973
Streak,L8,Men,Baseball,1973
Home,6-Jan,Men,Baseball,1973
Away,4-Jan,Men,Baseball,1973
Neutral,0-0,Men,Baseball,1973
Overall,13-Feb,Men,Baseball,1974
OverallPCT,0.133,Men,Baseball,1974
Conf,7-Jan,Men,Baseball,1974
ConfPCT,0.125,Men,Baseball,1974
Streak,L5,Men,Baseball,1974
Home,6-Feb,Men,Baseball,1974
Away,0-7,Men,Baseball,1974
Neutral,0-0,Men,Baseball,1974
Overall,10-Feb,Men,Baseball,1975
OverallPCT,0.167,Men,Baseball,1975
Conf,5-Jan,Men,Baseball,1975
ConfPCT,0.167,Men,Baseball,1975
Streak,L1,Men,Baseball,1975
Home,3-Feb,Men,Baseball,1975
Away,0-5,Men,Baseball,1975
Neutral,0-2,Men,Baseball,1975
Overall,16-Jan,Men,Baseball,1976
OverallPCT,0.059,Men,Baseball,1976
Conf,0-4,Men,Baseball,1976
ConfPCT,0,Men,Baseball,1976
Streak,L2,Men,Baseball,1976
Home,6-Jan,Men,Baseball,1976
Away,0-10,Men,Baseball,1976
Neutral,0-0,Men,Baseball,1976
Overall,11-Apr,Men,Baseball,1977
OverallPCT,0.267,Men,Baseball,1977
Conf,0-4,Men,Baseball,1977
ConfPCT,0,Men,Baseball,1977
Streak,L3,Men,Baseball,1977
Home,3-Mar,Men,Baseball,1977
Away,4-Jan,Men,Baseball,1977
Neutral,0-4,Men,Baseball,1977
Overall,8-Jul,Men,Baseball,1978
OverallPCT,0.467,Men,Baseball,1978
Conf,3-May,Men,Baseball,1978
ConfPCT,0.625,Men,Baseball,1978
Streak,L1,Men,Baseball,1978
Home,5-May,Men,Baseball,1978
Away,3-Feb,Men,Baseball,1978
Neutral,0-0,Men,Baseball,1978
Overall,23-Apr,Men,Baseball,1979
OverallPCT,0.148,Men,Baseball,1979
Conf,0-6,Men,Baseball,1979
ConfPCT,0,Men,Baseball,1979
Streak,L7,Men,Baseball,1979
Home,13-Feb,Men,Baseball,1979
Away,10-Feb,Men,Baseball,1979
Neutral,0-0,Men,Baseball,1979
Overall,5/16/2001,Men,Baseball,1980
OverallPCT,0.25,Men,Baseball,1980
Conf,3/3/2001,Men,Baseball,1980
ConfPCT,0.5,Men,Baseball,1980
Streak,L5,Men,Baseball,1980
Home,2/4/2001,Men,Baseball,1980
Away,9-Mar,Men,Baseball,1980
Neutral,0-3,Men,Baseball,1980
Overall,14-Feb,Men,Baseball,1981
OverallPCT,0.125,Men,Baseball,1981
Conf,7-Jan,Men,Baseball,1981
ConfPCT,0.125,Men,Baseball,1981
Streak,L3,Men,Baseball,1981
Home,5-Jan,Men,Baseball,1981
Away,9-Jan,Men,Baseball,1981
Neutral,0-0,Men,Baseball,1981
Overall,12-Apr,Men,Baseball,1982
OverallPCT,0.25,Men,Baseball,1982
Conf,11-Mar,Men,Baseball,1982
ConfPCT,0.214,Men,Baseball,1982
Streak,L4,Men,Baseball,1982
Home,6-Apr,Men,Baseball,1982
Away,0-6,Men,Baseball,1982
