Year,Gender,Scores,Rank,School,Sport
2005,Men,7.5,3,Lake Forest College,Basketball
2005,Men,8,3,Lake Forest College,Swimming & Diving
2005,Men,4,7,Lake Forest College,Tennis
2005,Men,38.5,9,Lake Forest College,Total
2005,Men,1.5,9,Lawrence University,Football
2005,Men,7,3,Lawrence University,Soccer
2005,Men,5,6,Lawrence University,Cross Country
2005,Men,10,1,Lawrence University,Basketball
2005,Men,9,2,Lawrence University,Swimming & Diving
2005,Men,5,6,Lawrence University,Track & Field (Indoor)
2005,Men,5,6,Lawrence University,Tennis
2005,Men,5,5,Lawrence University,Baseball
2005,Men,7,4,Lawrence University,Track & Field (Outdoor)
2005,Men,64.5,4,Lawrence University,Total
2005,Men,9,2,Monmouth College,Football
2005,Men,1,10,Monmouth College,Soccer
2005,Men,9,2,Monmouth College,Cross Country
2005,Men,6,5,Monmouth College,Basketball
2005,Men,7,4,Monmouth College,Swimming & Diving
2005,Men,10,1,Monmouth College,Track & Field (Indoor)
2005,Men,6,5,Monmouth College,Tennis
2005,Men,7.5,3,Monmouth College,Baseball
2005,Men,10,1,Monmouth College,Track & Field (Outdoor)
2005,Men,73.5,1,Monmouth College,Total
2005,Men,5,6,Ripon College,Football
2005,Men,5,6,Ripon College,Soccer
2005,Men,6.5,4,Ripon College,Cross Country
2005,Men,9,2,Ripon College,Basketball
2005,Men,3,8,Ripon College,Swimming & Diving
2005,Men,6,5,Ripon College,Track & Field (Indoor)
2005,Men,9,2,Ripon College,Tennis
2005,Men,10,1,Ripon College,Baseball
2005,Men,6,5,Ripon College,Track & Field (Outdoor)
2005,Men,61.5,5,Ripon College,Total
2005,Men,10,1,St. Norbert College,Football
2005,Men,10,1,St. Norbert College,Soccer
2005,Men,8,3,St. Norbert College,Cross Country
2005,Men,2.5,7,St. Norbert College,Basketball
2005,Men,9,2,St. Norbert College,Track & Field (Indoor)
2005,Men,8,3,St. Norbert College,Tennis
2005,Men,9,2,St. Norbert College,Baseball
2005,Men,9,2,St. Norbert College,Track & Field (Outdoor)
2005,Men,71.5,2,St. Norbert College,Total
2005,Women,6,5,Beloit College,Volleyball
2005,Women,3,8,Beloit College,Soccer
2005,Women,7,4,Beloit College,Cross Country
2005,Women,8,3,Beloit College,Tennis
2005,Women,4,7,Beloit College,Basketball
2005,Women,5,6,Beloit College,Swimming & Diving
2005,Women,4,7,Beloit College,Track & Field (Indoor)
2005,Women,6,5,Beloit College,Track & Field (Outdoor)
2005,Women,55,6,Beloit College,Total
2005,Women,1.5,9,Carroll University,Volleyball
2005,Women,9,2,Carroll University,Soccer
2005,Women,5,6,Carroll University,Cross Country
2005,Women,7,4,Carroll University,Tennis
2005,Women,5,6,Carroll University,Basketball
2005,Women,8,3,Carroll University,Swimming & Diving
