Year,Gender,Total Expense,Operating Expense,Undergrads,School,Sport
2011,Men,27839,6439,544,Cornell College,Tennis
2011,Men,786612,188911,544,Cornell College,Total
2011,Men,141278,25455,544,Cornell College,Wrestling
2011,Women,70479,7641,636,Cornell College,All Track Combined
2011,Women,115529,19828,636,Cornell College,Basketball
2011,Women,9316,5703,636,Cornell College,Golf
2011,Women,53312,11766,636,Cornell College,Soccer
2011,Women,76307,19761,636,Cornell College,Softball
2011,Women,6373,5516,636,Cornell College,Tennis
2011,Women,406980,89223,636,Cornell College,Total
2011,Women,75664,19008,636,Cornell College,Volleyball
2012,Men,116562,31419,523,Cornell College,All Track Combined
2012,Men,110305,42877,523,Cornell College,Baseball
2012,Men,131901,24190,523,Cornell College,Basketball
2012,Men,304914,104422,523,Cornell College,Football
2012,Men,60723,15561,523,Cornell College,Soccer
2012,Men,37606,9553,523,Cornell College,Tennis
2012,Men,927201,266395,523,Cornell College,Total
2012,Men,165190,38373,523,Cornell College,Wrestling
2012,Women,112467,28321,642,Cornell College,All Track Combined
2012,Women,135397,27581,642,Cornell College,Basketball
2012,Women,61406,14517,642,Cornell College,Soccer
2012,Women,91815,35542,642,Cornell College,Softball
2012,Women,36186,8010,642,Cornell College,Tennis
2012,Women,528435,144865,642,Cornell College,Total
2012,Women,91164,30894,642,Cornell College,Volleyball
2013,Men,100591,56934,502,Cornell College,Baseball
2013,Men,126653,23156,502,Cornell College,Basketball
2013,Men,321935,83249,502,Cornell College,Football
2013,Men,68875,17843,502,Cornell College,Soccer
2013,Men,31965,10957,502,Cornell College,Tennis
2013,Men,928005,165653,502,Cornell College,Total
2013,Men,28995,6532,502,Cornell College,Track & Field (Indoor)
2013,Men,32279,9798,502,Cornell College,Track & Field (Outdoor)
2013,Men,45493,12573,502,Cornell College,Cross Country
2013,Men,171219,51016,502,Cornell College,Wrestling
2013,Men,106767,28903,502,Cornell College,All Track Combined
2013,Women,147214,24557,612,Cornell College,Basketball
2013,Women,69519,14429,612,Cornell College,Soccer
